Title,Artist,Nationality,Born Date,Death Date,Gender,Submission Date,Department,Actual Age,Submission Age
"Street, Berlin",Ernst Ludwig Kirchner,German,1880,1938,Male,1913,Painting & Sculpture,58,33
The Song of the Shirt,David Wark Griffith,American,1874,1948,Male,1908,Film,74,34
Architecture Panoramas,Jan Dibbets,Dutch,1941,,Male,1971,Photography,-,30
Kazimierz Malewicz 1876-1935,Wladyslaw Strzemiński,Polish,1893,1952,Male,1936,Prints & Illustrated Books,59,43
"Ausstellung Galerie St. Stephen Wien, Images Meditatives",Winfred Gaul,German,1928,2003,Male,1960,Architecture & Design,75,32
Hospital Event Label,George Maciunas,American,1931,1978,Male,1975,Prints & Illustrated Books,47,44
"Washington, D.C.",Lee Friedlander,American,1934,,Male,1976,Photography,-,42
Deeparture,Mircea Cantor,Romanian,1977,,Male,2005,Media and Performance Art,-,28
Programy skolskeho rozhlasu,Augustin Tschinkel,Czech,1905,,Male,1933,Architecture & Design,-,28
Plate (folio 19) from KAFKA,Roger Chancel,French,1898,1976,Male,1957,Prints & Illustrated Books,78,59
Lassaw at Kootz Gallery,Elaine Lustig Cohen,American,1927,2016,Female,1960,Architecture & Design,89,33
"Untitled, from Eurana Park, Weatherly, Pennsylvania",Judith Joy Ross,American,1946,,Female,1982,Photography,-,36
"View from Hotel Window--Butte, Montana",Robert Frank,American,1924,,Male,1956,Photography,-,32
"CUPID SHOOTS THE WOMAN FROM HAMBURG IN THE STOMACH (in-text plate, page 20) from AUS DEN MEMOIREN DES HERRN VON SCHNABELEWOPSKY",Jules Pascin,American,1885,1930,Male,1910,Prints & Illustrated Books,45,25
UNTITLED (SQUARE YELLOW SPIRAL),Paul Thek,American,1933,1988,Male,1983,Drawings,55,50
In-text plate (folio 5) from THE DONKEY AND THE DARLING,Larry Rivers,American,1923,2002,Male,1972,Prints & Illustrated Books,79,49
So What!,Christian Fossier,French,1943,2013,Male,1969,Prints & Illustrated Books,70,26
"Plate 8 (in-text plate, folio 18) from UN SOUPÇON",Michel Guino,French,1926,2013,Male,1965,Prints & Illustrated Books,87,39
Trinket,Arthur B. Davies,American,1862,1928,Male,1920,Prints & Illustrated Books,66,58
"SOBAKÉVITCH AT THE TABLE, plate XXXVI (facing page 130) from LES ÂMES MORTES",Marc Chagall,French,1887,1985,Male,1936,Prints & Illustrated Books,98,49
Untitled (white lines),Lauretta Vinciarelli,Italian,1943,2012,Female,1973,Architecture & Design,69,30
"GALATEA PLAYING IN WATER (in-text plate, page 68) from LES ÉGLOGUES",Aristide Maillol,French,1861,1944,Male,1919,Prints & Illustrated Books,83,58
Mrs. Beatrice Baxter Ruyl and Infant,Gertrude Käsebier,American,1852,1934,Female,1905,Photography,82,53
"Plate (folio 12, duplicate of folio 10 woodcut) from Vingt-cinq poèmes",Jean (Hans) Arp,French,1886,1966,Male,1918,Prints & Illustrated Books,80,32
Topiary,Louise Bourgeois,American,1911,2010,Female,1997,Drawings,99,86
"Ruins of the Church of Las Monjas, Old Panama",Eadweard J. Muybridge,American,1830,1904,Male,1875,Photography,74,45
FONTAINE MOLIÈRE. RUE RICHELIEU. PAR VISCONTI ET PRADIER,Eugène Atget,French,1857,1927,Male,1907,Photography,70,50
Reclining Chair without Arms (Perspective sketch),Ludwig Mies van der Rohe,American,1886,1969,Male,1936,Architecture & Design,83,50
Ileana from Ruminations,Robert Rauschenberg,American,1925,2008,Male,1999,Prints & Illustrated Books,83,74
Luz Seated (to the right),Jean Charlot,American,1898,1979,Male,1929,Prints & Illustrated Books,81,31
"Untitled, from the series Come Sunday",Thomas Roma,American,1950,,Male,1992,Photography,-,42
"Black Panther children in a classroom at the Intercommunal Youth Institute, the Black Panther school, Oakland, California",Stephen Shames,American,1947,,Male,1971,Photography,-,24
Wear Your Goggles,Pat Keely,British,,,Male,1942,Architecture & Design,-,-
Ballet poster,André Masson,French,1896,1987,Male,1933,Architecture & Design,91,37
Fingerprint,Robert Watts,American,1923,1988,Male,1965,Prints & Illustrated Books,65,42
El Frente Popular de Madrid Al Frente Popular del Mundo - Homenaje a Las Brigadas Internacionales,J. Briones,Spanish,,,,1936,Architecture & Design,-,-
Untitled from Woodcuts,Thomas Schütte,German,1954,,Male,2011,Prints & Illustrated Books,-,57
"PSALM 122, plate 27 (page 61) from PSAUMES DE DAVID",Marc Chagall,French,1887,1985,Male,1978,Prints & Illustrated Books,98,91
New York I,Aaron Siskind,American,1903,1991,Male,1951,Photography,88,48
"Weissenhof Housing Colony Master Plan, ""The Dwelling,"" Stuttgart, Germany, Site elevation study from east",Ludwig Mies van der Rohe,American,1886,1969,Male,1926,Architecture & Design,83,40
Ode à l'Oubli,Louise Bourgeois,American,1911,2010,Female,2004,Prints & Illustrated Books,99,93
Two Figures,Max Weber,American,1881,1961,Male,1920,Prints & Illustrated Books,80,39
Instruction No. 2 from Fluxkit,Benjamin Patterson,American,1934,2016,Male,1966,Prints & Illustrated Books,82,32
Untitled,Unknown,,,,,1937,Photography,-,-
In-text plate (folio 8) from The Adventures of a Novel in Four Chapters,Bruce Conner,American,1933,2008,Male,1991,Prints & Illustrated Books,75,58
Headpiece (page 17) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,French,1871,1958,Male,1924,Prints & Illustrated Books,87,53
"Cloud Rock (plate, page 78) from 1¢ Life",Sam Francis,American,1923,1994,Male,1964,Prints & Illustrated Books,71,41
Untitled from an untitled portfolio,Mateo Manaure,Venezuelan,1926,2018,Male,1969,Prints & Illustrated Books,92,43
Untitled from Traces of anonymous pupil authors,Haegue Yang,Korean,1971,,Female,2001,Prints & Illustrated Books,-,30
Tailpiece (page 81) from ODES,André Derain,French,1880,1954,Male,1953,Prints & Illustrated Books,74,73
Salt Lake City,Lee Friedlander,American,1934,,Male,1965,Photography,-,31
Château de Bagatelle,Eugène Atget,French,1857,1927,Male,1913,Photography,70,56
Tailpiece (page 171) from L'ODYSSÉE,Émile Bernard,French,1868,1941,Male,1930,Prints & Illustrated Books,73,62
The Orchestra,Walter Richard Sickert,British,1860,1942,Male,1905,Prints & Illustrated Books,82,45
"Untitled, no. 1 of 12, from the illustrated book, To Whom It May Concern",Louise Bourgeois,American,1911,2010,Female,2010,Prints & Illustrated Books,99,99
Untitled from Farewell,Moshe Gershuni,Israeli,1936,2017,Male,1992,Prints & Illustrated Books,81,56
"Midway Gardens, Chicago, IL",Frank Lloyd Wright,American,1867,1959,Male,1913,Architecture & Design,92,46
"DEATH OF MOSES, plate 41 (volume, folio 90) from the BIBLE",Marc Chagall,French,1887,1985,Male,1944,Prints & Illustrated Books,98,57
She-Paul-A-Wee,William Henry Jackson,American,1843,1942,Male,1875,Photography,99,32
Volcano,Roman Signer,Swiss,1938,,Male,1989,Media and Performance Art,-,51
Palmolive,George Brecht,American,1926,2008,Male,1962,Prints & Illustrated Books,82,36
Untitled from Andy Warhol Doesn't Play Second Base for the Chicago Cubs,Kelley Walker,American,1969,,Male,2010,Prints & Illustrated Books,-,41
Portrait of Mies from Fluxus 1,George Maciunas,American,1931,1978,Male,1964,Prints & Illustrated Books,47,33
Great Builders II,Jean Charlot,American,1898,1979,Male,1927,Prints & Illustrated Books,81,29
Motherfucker from The Bad Habits,Lisa Yuskavage,American,1962,,Female,1997,Prints & Illustrated Books,-,35
"Entrance to Rockcut Dwelling, Bandelier National Monument",William R. Current,American,1923,,Male,1962,Photography,-,39
Three Kids and a Sled,Philip Fein,American,1912,1994,Male,1940,Photography,82,28
Study of Kuang Kung,Seong Moy,American,1921,2013,Male,1952,Prints & Illustrated Books,92,31
Abacus (Furnishing fabric),Paul Rand,American,1914,1996,Male,1946,Architecture & Design,82,32
Venezuela,Dorothea Lange,American,1895,1965,Female,1960,Photography,70,65
"Ancien Couvent des Bénédictins anglais, 269 bis rue Saint-Jacques",Eugène Atget,French,1857,1927,Male,1900,Photography,70,43
Sky Backdrop,Alex Israel,American,1982,,Male,2013,Painting & Sculpture,-,31
